,by,descendants,id,kids,score,time,title,type,url,text
0,Tomte,22.0,39827645,"[39827845, 39827786, 39828001, 39827792, 39827924, 39827950, 39827749, 39827785, 39827862]",98,1711460200,Tech Debt: My Rust Library Is Now a CDO,story,https://lucumr.pocoo.org/2024/3/26/rust-cdo/,
1,StefanBatory,49.0,39825901,"[39826352, 39827486, 39827387, 39826351, 39826102, 39827575, 39826971, 39826343]",111,1711446702,Sega Saturn Architecture – A practical analysis,story,https://www.copetti.org/writings/consoles/sega-saturn/,
2,buro9,1.0,39827828,"[39827990, 39828022]",25,1711461108,VLC can't update on Android without giving Google private signing keys,story,https://social.treehouse.systems/@Aissen/112139649840297169,
3,todsacerdoti,53.0,39813679,"[39827712, 39816655, 39827445, 39826030, 39827544, 39826655, 39826337, 39826729, 39826605, 39826050, 39825938, 39824934, 39826477, 39825850, 39824251, 39824270, 39827088, 39824603, 39825056]",383,1711353369,"Radios, how do they work?",story,https://lcamtuf.substack.com/p/radios-how-do-they-work,
4,herogary,0.0,39827127,,6,1711456937,"Hybrid-Net: Real-time audio source separation, generate lyrics, chords, beat",story,https://github.com/DoMusic/Hybrid-Net,
5,sizzle,65.0,39823146,"[39827004, 39827255, 39826941, 39827052, 39826754, 39827998, 39826963, 39827745, 39827132, 39826776, 39826741, 39826885, 39826676, 39827960, 39826739, 39826751, 39826717, 39826774]",56,1711414664,An AI robot is destroying sick tulips in Dutch bulb fields,story,https://apnews.com/article/tulips-netherlands-robot-technology-46ec590b882188ee6d7428df8f04bb9e,
6,adgjlsfhk1,13.0,39824019,"[39824354, 39825596, 39825660]",115,1711423676,Nonlinearsolve.jl: Fast and Robust Solvers for Nonlinear Equations in Julia,story,https://arxiv.org/abs/2403.16341,
7,kevinslin,,39826770,,1,1711454418,Nimbus (YC W21) Is Hiring Founding Engineer to Make Datadog Affordable Again,job,https://www.ycombinator.com/companies/nimbus-3/jobs/SqMcSqM-founding-full-stack-engineer,
8,EclipseMantis,33.0,39823373,"[39825894, 39824468, 39825747, 39824801, 39825985, 39825113, 39824831, 39826058, 39824541, 39825890]",119,1711416547,Deej: An open-source hardware volume mixer for Windows and Linux,story,https://github.com/omriharel/deej,
9,quadrige,44.0,39826209,"[39827502, 39827425, 39827854, 39827530, 39827919, 39827985, 39827648, 39826293, 39827669, 39827420, 39827750, 39827658, 39827767, 39827674, 39827337, 39827533, 39827506, 39827446]",72,1711449708,Canva acquires Affinity to fill the Adobe-sized holes in its design suite,story,https://www.theverge.com/2024/3/26/24112277/canva-affinity-acquisition-design-software-suite-adobe-rival,
